Format Version,1.23,Take Name,railsar_final,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2019-07-23 03.48.57.523 PM,Total Frames in Take,10062,Total Exported Frames,10062,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,SAR,SAR,SAR,SAR,SAR,SAR,SAR,SAR:Marker1,SAR:Marker1,SAR:Marker1,SAR:Marker2,SAR:Marker2,SAR:Marker2,SAR:Marker3,SAR:Marker3,SAR:Marker3
,ID,"28F40D84AD7A11E97C158CA05683C95","28F40D84AD7A11E97C158CA05683C95","28F40D84AD7A11E97C158CA05683C95","28F40D84AD7A11E97C158CA05683C95","28F40D84AD7A11E97C158CA05683C95","28F40D84AD7A11E97C158CA05683C95","28F40D84AD7A11E97C158CA05683C95","C9C00","C9C00","C9C00","C93D0","C93D0","C93D0","C9D60","C9D60","C9D60"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
46,0.127778,-0.007310,-0.002030,0.005033,-0.999959,-5.019052,1.784167,-0.068716,-4.980306,1.780317,-0.005555,-4.987177,1.781496,-0.174019,-5.087546,1.789120,-0.027348
47,0.130556,-0.005721,-0.001932,0.006707,-0.999959,-5.019236,1.784169,-0.068938,-4.980323,1.780293,-0.005573,-4.987790,1.780247,-0.173187,-5.087747,1.789135,-0.027604
48,0.133333,-0.004814,-0.002067,0.005333,-0.999972,-5.019292,1.784231,-0.068860,-4.980522,1.779366,-0.005153,-4.987791,1.780164,-0.173193,-5.087698,1.789091,-0.027112
49,0.136111,-0.001485,-0.003756,-0.000259,-0.999992,-5.019350,1.784736,-0.069074,-4.980648,1.782521,-0.006472,-4.987809,1.780178,-0.173197,-5.087524,1.789140,-0.027372
50,0.138889,-0.005918,-0.002275,0.006521,-0.999959,-5.019228,1.784172,-0.068859,-4.980324,1.780201,-0.005547,-4.987772,1.780249,-0.173219,-5.087723,1.789079,-0.027135
51,0.141667,-0.007784,-0.001300,0.007255,-0.999943,-5.019178,1.784194,-0.068685,-4.980857,1.779092,-0.005005,-4.987168,1.781481,-0.174020,-5.087544,1.789161,-0.027388
52,0.144444,-0.006001,-0.002253,0.006916,-0.999956,-5.019165,1.784181,-0.068873,-4.980320,1.780210,-0.005556,-4.987770,1.780214,-0.173197,-5.087547,1.789206,-0.027380
53,0.147222,-0.005665,-0.002276,0.006843,-0.999958,-5.019159,1.784164,-0.068887,-4.980315,1.780126,-0.005535,-4.987763,1.780189,-0.173169,-5.087509,1.789104,-0.027339
54,0.150000,-0.002348,-0.002209,-0.000344,-0.999995,-5.019163,1.784875,-0.068942,-4.980647,1.782509,-0.006486,-4.987163,1.781491,-0.173998,-5.087543,1.789130,-0.027361
55,0.152778,-0.005186,-0.002820,0.006147,-0.999964,-5.019232,1.784054,-0.068917,-4.980330,1.780122,-0.005530,-4.988195,1.779506,-0.173345,-5.087540,1.789135,-0.027366
56,0.155556,-0.000939,-0.002863,-0.000365,-0.999995,-5.019180,1.784758,-0.069102,-4.980656,1.782511,-0.006478,-4.987752,1.780205,-0.173207,-5.087535,1.789154,-0.027358
57,0.158333,-0.005152,-0.001638,0.007830,-0.999955,-5.019205,1.783936,-0.068814,-4.980834,1.779052,-0.004970,-4.988459,1.779248,-0.173348,-5.087694,1.789135,-0.027141
58,0.161111,-0.006052,-0.002332,0.004918,-0.999967,-5.019214,1.784022,-0.068839,-4.980336,1.780167,-0.005529,-4.987785,1.780181,-0.173179,-5.087712,1.788993,-0.027096
59,0.163889,-0.001337,-0.002694,0.000054,-0.999995,-5.019260,1.784695,-0.069026,-4.980617,1.782310,-0.006454,-4.987757,1.780193,-0.173179,-5.087695,1.789086,-0.027110
60,0.166667,-0.006022,-0.003151,0.006671,-0.999955,-5.019328,1.784153,-0.068843,-4.980341,1.780124,-0.005517,-4.987782,1.780101,-0.173190,-5.087518,1.789171,-0.027354
61,0.169444,-0.004525,-0.002255,0.005502,-0.999972,-5.019309,1.784164,-0.068863,-4.980518,1.779347,-0.005180,-4.988031,1.779701,-0.173629,-5.087693,1.789058,-0.027123
62,0.172222,-0.005851,-0.001938,0.007374,-0.999954,-5.019218,1.784169,-0.068914,-4.980319,1.780145,-0.005532,-4.987785,1.780119,-0.173191,-5.087769,1.790552,-0.028230
