Format Version,1.23,Take Name,Radar_3,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2019-07-23 04.25.32.538 PM,Total Frames in Take,9628,Total Exported Frames,9628,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Radar,Radar,Radar,Radar,Radar,Radar,Radar,Radar:Marker1,Radar:Marker1,Radar:Marker1,Radar:Marker2,Radar:Marker2,Radar:Marker2,Radar:Marker3,Radar:Marker3,Radar:Marker3,Unlabeled 1140,Unlabeled 1140,Unlabeled 1140,Unlabeled 1141,Unlabeled 1141,Unlabeled 1141
,ID,"8C2FC817AD8411E97C158CA05683C95","8C2FC817AD8411E97C158CA05683C95","8C2FC817AD8411E97C158CA05683C95","8C2FC817AD8411E97C158CA05683C95","8C2FC817AD8411E97C158CA05683C95","8C2FC817AD8411E97C158CA05683C95","8C2FC817AD8411E97C158CA05683C95","CF3B0","CF3B0","CF3B0","CF390","CF390","CF390","CF3D0","CF3D0","CF3D0","CF410","CF410","CF410","CF450","CF450","CF450"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
56,0.155556,-0.000972,-0.002261,-0.080560,-0.996747,-4.997316,1.782063,-0.036190,-4.983425,1.781399,0.048362,-4.988899,1.781514,-0.115774,-5.018969,1.780214,-0.042298,,,,,,
57,0.158333,-0.000533,-0.002393,-0.080039,-0.996789,-4.997418,1.782006,-0.036292,-4.983825,1.781245,0.048746,-4.988833,1.781549,-0.115591,-5.019534,1.779906,-0.042375,,,,,,
58,0.161111,-0.000321,-0.002281,-0.081089,-0.996704,-4.997406,1.782003,-0.036272,-4.983821,1.781294,0.048722,-4.988944,1.781519,-0.115751,-5.019530,1.779857,-0.042367,,,,,,
59,0.163889,-0.000439,-0.001904,-0.076311,-0.997082,-4.997499,1.782227,-0.036260,-4.983982,1.782463,0.048042,-4.988923,1.781560,-0.115770,-5.019542,1.779863,-0.042392,,,,,,
60,0.166667,-0.000692,-0.002171,-0.081934,-0.996635,-4.997403,1.781978,-0.036219,-4.983813,1.781421,0.048702,-4.988941,1.781543,-0.115784,-5.019531,1.779791,-0.042378,,,,,,
61,0.169444,-0.000469,-0.001525,-0.081429,-0.996678,-4.997488,1.782039,-0.036230,-4.984119,1.783004,0.047557,-4.988942,1.781528,-0.115781,-5.019521,1.779908,-0.042364,,,,,,
62,0.172222,-0.000702,-0.002315,-0.081311,-0.996686,-4.997391,1.781987,-0.036226,-4.983787,1.781343,0.048717,-4.988933,1.781495,-0.115770,-5.019533,1.779822,-0.042379,,,,,,
63,0.175000,-0.000615,-0.002131,-0.080439,-0.996757,-4.997391,1.782000,-0.036270,-4.983426,1.781394,0.048355,-4.988928,1.781562,-0.115774,-5.019509,1.779890,-0.042402,,,,,,
64,0.177778,-0.000777,-0.002151,-0.075231,-0.997164,-4.997462,1.782167,-0.036224,-4.983843,1.781266,0.048744,-4.988922,1.781491,-0.115757,-5.019534,1.779848,-0.042384,,,,,,
65,0.180556,-0.000524,-0.001245,-0.075336,-0.997157,-4.997496,1.782177,-0.036254,-4.984120,1.782952,0.047565,-4.988898,1.781581,-0.115748,-5.019497,1.779908,-0.042376,,,,,,
66,0.183333,-0.000196,-0.002058,-0.082210,-0.996613,-4.997439,1.782029,-0.036286,-4.983970,1.782461,0.048059,-4.988826,1.781518,-0.115585,-5.019486,1.779856,-0.042367,,,,,,
67,0.186111,-0.001034,-0.002422,-0.081774,-0.996647,-4.997402,1.782025,-0.036174,-4.983413,1.781417,0.048370,-4.988933,1.781520,-0.115760,-5.019515,1.779851,-0.042376,,,,,,
68,0.188889,-0.002736,-0.002192,-0.076698,-0.997048,-4.997413,1.781749,-0.036350,-4.983453,1.781311,0.048371,-4.988834,1.781517,-0.115608,-5.019507,1.779848,-0.042403,,,,,,
69,0.191667,-0.000558,-0.002145,-0.081928,-0.996636,-4.997407,1.782049,-0.036246,-4.983975,1.782453,0.048065,-4.988927,1.781532,-0.115786,-5.019517,1.779879,-0.042355,,,,,,
70,0.194444,0.000892,-0.001472,-0.078786,-0.996890,-4.997555,1.782282,-0.036334,-4.984128,1.783008,0.047526,-4.988837,1.781556,-0.115593,-5.019515,1.779802,-0.042381,,,,,,
71,0.197222,0.001445,-0.001558,-0.080136,-0.996782,-4.997525,1.782348,-0.036348,-4.984285,1.782837,0.047702,-4.988940,1.781512,-0.115744,-5.019485,1.779877,-0.042388,,,,,,
72,0.200000,-0.000708,-0.002304,-0.080346,-0.996764,-4.997411,1.781981,-0.036294,-4.983809,1.781308,0.048721,-4.988824,1.781554,-0.115613,-5.019535,1.779881,-0.042410,,,,,,
73,0.202778,-0.000547,-0.002313,-0.080550,-0.996748,-4.997420,1.781981,-0.036283,-4.983451,1.781419,0.048336,-4.988841,1.781484,-0.115598,-5.019523,1.779851,-0.042419,,,,,,
74,0.205556,-0.000316,-0.002214,-0.082226,-0.996611,-4.997423,1.782010,-0.036301,-4.983792,1.781985,0.048150,-4.988831,1.781514,-0.115608,-5.019488,1.779822,-0.042403,,,,,,
75,0.208333,-0.000454,-0.002108,-0.082764,-0.996567,-4.997465,1.782070,-0.036215,-4.983968,1.782457,0.048024,-4.988943,1.781487,-0.115789,-5.019555,1.779882,-0.042370,,,,,,
76,0.211111,-0.000404,-0.001444,-0.081823,-0.996646,-4.997463,1.782012,-0.036230,-4.984097,1.782951,0.047512,-4.988905,1.781508,-0.115778,-5.019498,1.779879,-0.042361,,,,,,
77,0.213889,0.001898,-0.001703,-0.079902,-0.996800,-4.997513,1.782344,-0.036382,-4.984924,1.782500,0.047739,-4.988910,1.781500,-0.115787,-5.019524,1.779825,-0.042333,,,,,,
78,0.216667,-0.000596,-0.002147,-0.080978,-0.996714,-4.997377,1.781971,-0.036229,-4.983449,1.781437,0.048756,-4.988910,1.781484,-0.115769,-5.019483,1.779875,-0.042367,,,,,,
79,0.219444,-0.000632,-0.002481,-0.081593,-0.996662,-4.997394,1.781972,-0.036274,-4.983415,1.781393,0.048369,-4.988842,1.781475,-0.115581,-5.019220,1.780020,-0.042303,,,,,,
80,0.222222,-0.000172,-0.002126,-0.075790,-0.997122,-4.997371,1.782200,-0.036329,-4.983962,1.782420,0.048048,-4.988817,1.781514,-0.115602,-5.018800,1.780341,-0.042441,,,,,,
81,0.225000,-0.000395,-0.002257,-0.081238,-0.996692,-4.997375,1.781996,-0.036305,-4.983808,1.781345,0.048711,-4.988931,1.781540,-0.115809,-5.019199,1.780015,-0.042337,,,,,,
82,0.227778,0.000321,-0.001949,-0.083365,-0.996517,-4.997456,1.782080,-0.036357,-4.984258,1.782815,0.047673,-4.988802,1.781498,-0.115612,-5.019230,1.780016,-0.042301,,,,,,
83,0.230556,-0.001406,-0.002114,-0.082151,-0.996617,-4.997338,1.782054,-0.036175,-4.983447,1.781372,0.048378,-4.988905,1.781574,-0.115787,-5.018932,1.780229,-0.041978,,,,,,
84,0.233333,-0.000781,-0.002199,-0.081896,-0.996638,-4.997401,1.781981,-0.036227,-4.983838,1.781328,0.048708,-4.988956,1.781521,-0.115774,-5.019218,1.779998,-0.042322,,,,,,
85,0.236111,-0.000656,-0.002303,-0.080993,-0.996712,-4.997389,1.782012,-0.036280,-4.983815,1.781281,0.048736,-4.988948,1.781565,-0.115806,-5.019226,1.780064,-0.042284,,,,,,
86,0.238889,-0.000980,-0.002340,-0.081079,-0.996705,-4.997428,1.782011,-0.036194,-4.983849,1.781276,0.048727,-4.988929,1.781458,-0.115784,-5.019542,1.779873,-0.042393,,,,,,
87,0.241667,-0.000075,-0.001608,-0.075676,-0.997131,-4.997536,1.782113,-0.036305,-4.984134,1.782997,0.047518,-4.988853,1.781421,-0.115588,-5.019236,1.780069,-0.042302,,,,,,
88,0.244444,-0.001569,-0.002392,-0.084685,-0.996404,-4.997410,1.782118,-0.036149,-4.983445,1.781487,0.048717,-4.988441,1.783574,-0.113688,-5.019511,1.779830,-0.042399,,,,,,
89,0.247222,0.000526,-0.001582,-0.084665,-0.996408,-4.997520,1.782132,-0.036322,-4.984127,1.782955,0.047527,-4.988844,1.781502,-0.115602,-5.019483,1.779862,-0.042397,,,,,,
90,0.250000,0.000155,-0.002225,-0.074416,-0.997225,-4.997390,1.782212,-0.036330,-4.983963,1.782424,0.048027,-4.988835,1.781458,-0.115606,-5.018815,1.780387,-0.042410,,,,,,
91,0.252778,0.000333,-0.001846,-0.082774,-0.996567,-4.997456,1.782072,-0.036348,-4.984265,1.782823,0.047695,-4.988940,1.781546,-0.115797,-5.019219,1.780015,-0.042303,,,,,,
92,0.255556,-0.000502,-0.001795,-0.080853,-0.996724,-4.997480,1.782016,-0.036254,-4.983204,1.782761,0.047882,-4.988858,1.781528,-0.115600,-5.019490,1.779935,-0.042386,,,,,,
93,0.258333,-0.000185,-0.002085,-0.074978,-0.997183,-4.997384,1.782235,-0.036289,-4.983970,1.782448,0.048027,-4.988938,1.781540,-0.115784,-5.018993,1.780179,-0.042283,,,,,,
94,0.261111,-0.000397,-0.002286,-0.080048,-0.996788,-4.997418,1.781993,-0.036287,-4.983479,1.781446,0.048718,-4.988823,1.781466,-0.115628,-5.019514,1.779915,-0.042354,,,,,,
95,0.263889,-0.000503,-0.002219,-0.080714,-0.996735,-4.997410,1.781987,-0.036265,-4.983420,1.781425,0.048356,-4.988948,1.781522,-0.115773,-5.019540,1.779868,-0.042363,,,,,,
96,0.266667,-0.000621,-0.002419,-0.080007,-0.996791,-4.997401,1.782013,-0.036299,-4.983832,1.781295,0.048729,-4.988841,1.781508,-0.115612,-5.019229,1.780097,-0.042348,,,,,,
97,0.269444,-0.000567,-0.002310,-0.080481,-0.996753,-4.997399,1.781986,-0.036290,-4.983405,1.781468,0.048337,-4.988933,1.781519,-0.115779,-5.019570,1.779848,-0.042398,,,,,,
98,0.272222,-0.000496,-0.002283,-0.080966,-0.996714,-4.997383,1.782012,-0.036277,-4.983421,1.781376,0.048353,-4.988948,1.781523,-0.115755,-5.019219,1.780059,-0.042319,,,,,,
99,0.275000,-0.001880,-0.002265,-0.083057,-0.996540,-4.997326,1.782131,-0.036136,-4.983421,1.781383,0.048355,-4.988439,1.783522,-0.113726,-5.018809,1.780308,-0.042387,,,,,,
100,0.277778,-0.000458,-0.002242,-0.073674,-0.997280,-4.997440,1.782109,-0.036315,-4.983393,1.781435,0.048332,-4.988828,1.781506,-0.115596,-5.019231,1.780076,-0.042321,,,,,,
101,0.280556,-0.000479,-0.002351,-0.081025,-0.996709,-4.997379,1.781985,-0.036286,-4.983459,1.781349,0.048729,-4.988805,1.781505,-0.115596,-5.019472,1.779850,-0.042412,,,,,,
102,0.283333,-0.000917,-0.002502,-0.082453,-0.996591,-4.997401,1.782037,-0.036184,-4.983410,1.781376,0.048374,-4.988969,1.781535,-0.115757,-5.019482,1.779875,-0.042384,,,,,,
103,0.286111,-0.001026,-0.002375,-0.082083,-0.996622,-4.997394,1.782037,-0.036194,-4.983421,1.781337,0.048380,-4.988932,1.781543,-0.115744,-5.019228,1.780035,-0.042318,,,,,,
