,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,SAR,SAR,SAR,SAR,SAR,SAR,SAR,Radar,Radar,Radar,Radar,Radar,Radar,Radar,Right Reflector,Right Reflector,Right Reflector,Right Reflector,Right Reflector,Right Reflector,Right Reflector,Radar:Marker1,Radar:Marker1,Radar:Marker1,Radar:Marker2,Radar:Marker2,Radar:Marker2,Radar:Marker3,Radar:Marker3,Radar:Marker3,Right Reflector:Marker1,Right Reflector:Marker1,Right Reflector:Marker1,Right Reflector:Marker2,Right Reflector:Marker2,Right Reflector:Marker2,Right Reflector:Marker3,Right Reflector:Marker3,Right Reflector:Marker3
,ID,"28F40D84AD7A11E97C158CA05683C95","28F40D84AD7A11E97C158CA05683C95","28F40D84AD7A11E97C158CA05683C95","28F40D84AD7A11E97C158CA05683C95","28F40D84AD7A11E97C158CA05683C95","28F40D84AD7A11E97C158CA05683C95","28F40D84AD7A11E97C158CA05683C95","8C2FC817AD8411E97C158CA05683C95","8C2FC817AD8411E97C158CA05683C95","8C2FC817AD8411E97C158CA05683C95","8C2FC817AD8411E97C158CA05683C95","8C2FC817AD8411E97C158CA05683C95","8C2FC817AD8411E97C158CA05683C95","8C2FC817AD8411E97C158CA05683C95","A4650E44AD8411E97C158CA05683C95","A4650E44AD8411E97C158CA05683C95","A4650E44AD8411E97C158CA05683C95","A4650E44AD8411E97C158CA05683C95","A4650E44AD8411E97C158CA05683C95","A4650E44AD8411E97C158CA05683C95","A4650E44AD8411E97C158CA05683C95","CB540","CB540","CB540","CB600","CB600","CB600","CD6A0","CD6A0","CD6A0","CD560","CD560","CD560","CD590","CD590","CD590","CD5B0","CD5B0","CD5B0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
29,0.080556,,,,,,,,0.001130,-0.000588,-0.076874,-0.997040,-5.014009,1.781219,-0.503069,-0.138784,-0.011842,0.358439,0.923104,-0.998275,0.302167,-0.111886,-5.000871,1.782115,-0.417985,-5.005425,1.780263,-0.582564,-5.034977,1.779855,-0.508453,-0.916744,0.307530,-0.321953,-0.980608,0.304137,-0.159646,-1.097347,0.293642,0.143961
30,0.083333,,,,,,,,-0.001804,-0.000654,-0.067881,-0.997692,-5.014195,1.781173,-0.503160,-0.108903,-0.009358,0.283402,0.952752,-0.998326,0.302423,-0.111541,-5.000950,1.781318,-0.419025,-5.005445,1.780272,-0.582562,-5.035444,1.779343,-0.508989,-0.917220,0.309465,-0.322924,-0.979355,0.304453,-0.158125,-1.097820,0.292440,0.145042
31,0.086111,,,,,,,,-0.000014,-0.000876,-0.065134,-0.997876,-5.014187,1.781132,-0.503082,-0.171040,-0.014657,0.443875,0.879492,-0.998357,0.302429,-0.111783,-5.000851,1.782092,-0.418032,-5.005467,1.780185,-0.582547,-5.034983,1.779878,-0.508469,-0.917203,0.309498,-0.322974,-0.980433,0.303956,-0.159616,-1.097844,0.292400,0.145062
32,0.088889,,,,,,,,-0.001461,-0.000667,-0.075391,-0.997153,-5.013962,1.781199,-0.503067,0.232851,0.021346,-0.605255,0.760915,-0.998234,0.302250,-0.111917,-5.000857,1.782152,-0.417968,-5.005421,1.780283,-0.582544,-5.034955,1.779945,-0.508475,-0.917191,0.309577,-0.322771,-0.979744,0.303262,-0.159207,-1.096638,0.293172,0.143334
33,0.091667,,,,,,,,-0.001326,-0.000227,-0.065138,-0.997875,-5.014253,1.780999,-0.503182,-0.165097,-0.013660,0.427178,0.888862,-0.998418,0.302405,-0.112080,-5.000960,1.781316,-0.418983,-5.005442,1.780265,-0.582563,-5.034967,1.779842,-0.508435,-0.917668,0.308864,-0.322348,-0.980808,0.304014,-0.159734,-1.097307,0.293772,0.143734
34,0.094444,,,,,,,,0.001203,-0.000050,-0.062983,-0.998014,-5.014155,1.781482,-0.503257,0.227396,0.020702,-0.589657,0.774705,-0.998516,0.302635,-0.111832,-5.001089,1.783081,-0.418789,-5.005456,1.780270,-0.582525,-5.035133,1.780522,-0.508886,-0.918845,0.310327,-0.320855,-0.980656,0.304195,-0.159676,-1.097247,0.293645,0.143825
35,0.097222,,,,,,,,-0.000514,-0.000465,-0.062916,-0.998019,-5.014236,1.781099,-0.503130,0.001427,0.001083,-0.004131,0.999990,-0.998397,0.302443,-0.112014,-5.000825,1.781458,-0.418621,-5.005437,1.780196,-0.582514,-5.034983,1.779825,-0.508456,-0.917560,0.308775,-0.323282,-0.979769,0.303373,-0.159139,-1.097284,0.293683,0.143735
36,0.100000,,,,,,,,-0.000525,-0.000407,-0.064116,-0.997942,-5.014229,1.781082,-0.503152,-0.144900,-0.012274,0.376578,0.914900,-0.998397,0.302484,-0.111804,-5.000848,1.781422,-0.418652,-5.005438,1.780228,-0.582547,-5.034951,1.779880,-0.508457,-0.917227,0.309455,-0.322897,-0.980665,0.304045,-0.159676,-1.097858,0.292359,0.145106
37,0.102778,,,,,,,,0.000453,-0.000166,-0.037709,-0.999289,-5.014157,1.781755,-0.503246,0.231630,0.020571,-0.601853,0.764001,-0.998216,0.302206,-0.111708,-5.000527,1.781886,-0.417916,-5.005415,1.780249,-0.582567,-5.035180,1.783761,-0.509284,-0.917196,0.309423,-0.322937,-0.979315,0.302509,-0.158363,-1.097299,0.293706,0.143747
38,0.105556,,,,,,,,-0.000701,-0.000770,-0.064782,-0.997899,-5.014198,1.781048,-0.503150,0.223257,0.020223,-0.580382,0.782882,-0.998301,0.302253,-0.111916,-5.000926,1.781253,-0.418994,-5.005447,1.780222,-0.582568,-5.034956,1.779801,-0.508456,-0.917455,0.308886,-0.323336,-0.979770,0.303221,-0.159183,-1.097318,0.293701,0.143749
39,0.108333,,,,,,,,-0.002820,-0.000788,-0.074222,-0.997238,-5.013971,1.781007,-0.503094,-0.139975,-0.012257,0.363936,0.920764,-0.998403,0.302625,-0.111629,-5.000820,1.781615,-0.419175,-5.005440,1.780268,-0.582537,-5.034976,1.779865,-0.508465,-0.917206,0.309465,-0.323004,-0.980192,0.306352,-0.157116,-1.097311,0.293647,0.143969
40,0.111111,,,,,,,,-0.001788,-0.000367,-0.067732,-0.997702,-5.014227,1.781229,-0.503132,-0.121656,-0.009847,0.315693,0.940979,-0.998453,0.302411,-0.111925,-5.000839,1.781498,-0.418638,-5.005431,1.780265,-0.582555,-5.034964,1.779802,-0.508457,-0.917199,0.309474,-0.323016,-0.980408,0.304002,-0.159583,-1.097841,0.292421,0.145113
41,0.113889,,,,,,,,-0.001146,-0.000037,-0.035729,-0.999361,-5.014218,1.781813,-0.503329,-0.184535,-0.015496,0.478270,0.858466,-0.998334,0.302428,-0.111949,-5.000964,1.781298,-0.419010,-5.005441,1.780267,-0.582525,-5.035192,1.783821,-0.509273,-0.917208,0.309475,-0.322977,-0.980719,0.303999,-0.159738,-1.096631,0.293238,0.143356
42,0.116667,,,,,,,,-0.000724,-0.000768,-0.065556,-0.997848,-5.014194,1.781047,-0.503138,0.225019,0.020400,-0.584298,0.779452,-0.998260,0.302287,-0.111774,-5.000950,1.781298,-0.418994,-5.005458,1.780245,-0.582542,-5.034958,1.779859,-0.508447,-0.918339,0.310038,-0.322376,-0.978711,0.301423,-0.158636,-1.097296,0.293708,0.143726
43,0.119444,,,,,,,,0.001692,-0.000255,-0.058796,-0.998269,-5.014128,1.781578,-0.503158,-0.239988,-0.022093,0.623107,-0.744080,-0.998337,0.302360,-0.111586,-5.000786,1.783191,-0.418407,-5.005448,1.780244,-0.582524,-5.034975,1.779901,-0.508468,-0.917332,0.308626,-0.322721,-0.980676,0.304074,-0.159655,-1.097848,0.292332,0.145059
